PROPERTY_TYPE,CITY,LOCALITY_NAME,BEDROOM_NUM,FURNISH,MIN_AREA_SQFT,MAX_AREA_SQFT,PRICE_PER_UNIT_AREA,PRICE,AGE,TOTAL_FLOOR,FLOOR_NUM,BALCONY_NUM,FACING,PROP_ID,AMENITIES,FEATURES,IS_PREMIUM
Residential Apartment,Thane,Thane East,4,0,2091,2091,11069,23145279,1,25,12,3,6,PROP00001,"1,21,42,44,40,24,12",9,False
Residential Apartment,Central Mumbai suburbs,Bhandup West,2,0,697,697,17294,12053918,2,4,1,2,5,PROP00002,"29,19,46,40,26,1,32,44","8,19,6,28",False
Residential Apartment,Mumbai Andheri-Dahisar,Kandivali West,1,0,536,536,16098,8628528,0,6,3,1,1,PROP00003,"42,12,46,45,21,25,32,40",9,True
Residential Apartment,Thane,Thane West,2,2,691,691,16072,11105752,0,12,11,0,3,PROP00004,"41,12,44,26","17,20,19,30",True
Studio Apartment,Mumbai South West,Khar West,1,1,507,507,26150,13258050,7,29,21,1,4,PROP00005,"12,25,40,21,24,19,47,45,41","9,20",False
Farm House,Mumbai Andheri-Dahisar,Kandivali West,2,0,880,880,24542,21596960,2,13,11,0,2,PROP00006,"26,24,42,44,19","6,8,30,9",False
Residential Apartment,Mumbai South West,Khar West,4,1,2181,2181,28403,61946943,5,12,10,1,1,PROP00007,"46,1,19,41,25,40,12","9,19",True
Residential Apartment,Mumbai South West,Khar West,2,2,777,777,32054,24905958,7,17,15,1,7,PROP00008,"17,21,24,19,45","8,1,28,19",True
Residential Apartment,Central Mumbai suburbs,Powai,4,0,1634,1634,16806,27461004,2,23,11,1,8,PROP00009,"24,42,26,32","28,30,20",False
Independent/Builder Floor,Mumbai South West,Khar West,3,2,1167,1167,35070,40926690,20,24,6,0,4,PROP00010,"44,24,17,21","8,30,28",False
Residential Apartment,Mumbai Harbour,Chembur,3,2,1279,1279,26338,33686302,3,20,8,3,6,PROP00011,"23,25,17,46,24,41","1,6,9,28",False
Residential Apartment,Mira Road And Beyond,Bhayander West,4,0,1278,1278,10094,12900132,2,23,18,2,4,PROP00012,"29,42,41,45,47,21,32,12,40",17,False
Residential Apartment,Thane,Majiwada,2,2,798,798,15064,12021072,4,25,2,1,3,PROP00013,"19,47,21,40,12,24,45,26","8,1,30,17",False
Residential Apartment,Thane,Manpada,3,2,1381,1381,16354,22584874,20,8,3,2,8,PROP00014,"46,24,42,29,32,12,41,1","19,20,6",True
Residential Apartment,Navi Mumbai,Airoli,3,0,995,995,14333,14261335,1,2,2,0,5,PROP00015,"47,17,29,1",30,False
Independent House/Villa,Mumbai South West,Khar West,2,0,744,744,41109,30585096,15,23,20,2,8,PROP00016,"21,40,1,25,29,46,32,24",30,True
Residential Apartment,Mira Road And Beyond,Mira Road,2,0,773,773,9034,6983282,3,12,7,2,8,PROP00017,"44,45,40,42,29,47,41,21,19","1,6,9",True
Independent/Builder Floor,Navi Mumbai,Airoli,2,0,554,554,8691,4814814,4,6,5,1,1,PROP00018,"45,46,32",17,True
Residential Apartment,Thane,Ghodbunder Road,2,2,841,841,11576,9735416,4,12,1,3,5,PROP00019,"46,40,19,25,23,1,24,47,21","20,9,28",False
Residential Apartment,South Mumbai,Dadar West,1,0,432,432,92374,39905568,10,11,10,1,4,PROP00020,"21,42,25,17,26,23","19,20,30,28",True
